ID_COMPTE;CHOC_TYPE;CHOC_IDX;RESERVE_BE;CAPITAL_REQ;SCR
18;EAFE_SHOCK;3;-66.63996;-75.869865;-9.229904
18;DEX_SHOCK;4;-66.675674;-75.93112;-9.255447
19;BASE;0;-21.795221;-22.651484;-0.8562622
19;SP500_SHOCK;1;-21.8169;-22.77848;-0.9615803
19;TSX_SHOCK;2;-21.808115;-22.7367;-0.92858505
19;EAFE_SHOCK;3;-21.801746;-22.689919;-0.88817215
19;DEX_SHOCK;4;-21.81011;-22.725502;-0.9153919
20;BASE;0;-103.528366;-110.79029;-7.2619247
20;SP500_SHOCK;1;-103.09625;-114.039024;-10.942772
20;TSX_SHOCK;2;-103.4791;-111.19876;-7.719658
20;EAFE_SHOCK;3;-103.44914;-111.1345;-7.685356
20;DEX_SHOCK;4;-103.62931;-111.34841;-7.719101
21;BASE;0;-28.943531;-30.99279;-2.0492592
21;SP500_SHOCK;1;-29.04637;-31.42536;-2.3789902
21;TSX_SHOCK;2;-28.95705;-31.04509;-2.0880394
21;EAFE_SHOCK;3;-28.962748;-31.076094;-2.113346
21;DEX_SHOCK;4;-28.993773;-31.160471;-2.1666985
22;BASE;0;-23.582418;-28.317616;-4.735197
22;SP500_SHOCK;1;-23.863113;-29.159422;-5.2963085
22;TSX_SHOCK;2;-23.63075;-28.465578;-4.8348274
22;EAFE_SHOCK;3;-23.632204;-28.473019;-4.8408146
22;DEX_SHOCK;4;-23.78752;-28.846745;-5.059225
23;BASE;0;-20.99506;-21.089462;-0.09440231
23;SP500_SHOCK;1;-20.99506;-21.089462;-0.09440231
23;TSX_SHOCK;2;-20.99506;-21.089462;-0.09440231
23;EAFE_SHOCK;3;-21.022034;-21.106995;-0.08496094
23;DEX_SHOCK;4;-20.99506;-21.089462;-0.09440231
24;BASE;0;-52.383305;-51.969696;0.41360855
24;SP500_SHOCK;1;-52.360195;-52.001694;0.35850143
24;TSX_SHOCK;2;-52.31379;-52.045135;0.26865387
24;EAFE_SHOCK;3;-52.319332;-52.050846;0.26848602
24;DEX_SHOCK;4;-52.23276;-52.191147;0.041614532
25;BASE;0;-94.04981;-93.71765;0.33216095
25;SP500_SHOCK;1;-94.020775;-93.6999;0.32087708
25;TSX_SHOCK;2;-94.0309;-93.70677;0.3241272
25;EAFE_SHOCK;3;-94.02641;-93.70152;0.32489014
25;DEX_SHOCK;4;-94.02835;-93.72131;0.30703735
26;BASE;0;-75.023056;-77.82302;-2.799965
26;SP500_SHOCK;1;-75.16378;-78.14206;-2.978279
26;TSX_SHOCK;2;-75.05865;-77.896355;-2.8377075
26;EAFE_SHOCK;3;-75.094635;-77.97554;-2.8809052
26;DEX_SHOCK;4;-75.16891;-78.155594;-2.9866867
27;BASE;0;-80.657295;-81.20065;-0.54335785
27;SP500_SHOCK;1;-80.19854;-81.64099;-1.4424515
27;TSX_SHOCK;2;-80.23296;-81.39341;-1.1604462
27;EAFE_SHOCK;3;-80.4584;-81.35106;-0.89266205
27;DEX_SHOCK;4;-80.49232;-81.70342;-1.2111053
28;BASE;0;-49.581486;-135.48537;-85.903885
28;SP500_SHOCK;1;-55.831696;-150.09496;-94.26326
28;TSX_SHOCK;2;-52.792526;-143.7871;-90.99457
28;EAFE_SHOCK;3;-50.368595;-137.39876;-87.03017
28;DEX_SHOCK;4;-50.84586;-138.13113;-87.28528
29;BASE;0;-73.19072;-77.056915;-3.8661957
29;SP500_SHOCK;1;-73.21622;-77.44291;-4.226692
29;TSX_SHOCK;2;-73.19281;-77.08393;-3.891121
29;EAFE_SHOCK;3;-73.2077;-77.40927;-4.2015686
29;DEX_SHOCK;4;-73.27699;-77.66992;-4.392929
30;BASE;0;-64.632675;-65.4035;-0.77082825
30;SP500_SHOCK;1;-64.62803;-65.48007;-0.85204315
30;TSX_SHOCK;2;-64.62612;-65.45688;-0.83075714
30;EAFE_SHOCK;3;-64.629265;-65.44359;-0.8143234
30;DEX_SHOCK;4;-64.63646;-65.80678;-1.1703186
31;BASE;0;74.806725;34.77089;-40.035835
31;SP500_SHOCK;1;69.1247;31.116846;-38.00786
31;TSX_SHOCK;2;72.17548;33.075752;-39.09973
31;EAFE_SHOCK;3;74.06823;34.294937;-39.773293
31;DEX_SHOCK;4;73.5321;33.94672;-39.585377
32;BASE;0;-17.275517;-17.997913;-0.72239685
32;SP500_SHOCK;1;-17.28625;-18.113485;-0.8272362
32;TSX_SHOCK;2;-17.28281;-18.102526;-0.8197155
32;EAFE_SHOCK;3;-17.27741;-18.020638;-0.743227
32;DEX_SHOCK;4;-17.282152;-18.057846;-0.7756939
33;BASE;0;-108.78056;-109.215775;-0.43521118
33;SP500_SHOCK;1;-108.65212;-109.3962;-0.7440796
33;TSX_SHOCK;2;-108.702126;-109.2868;-0.584671
33;EAFE_SHOCK;3;-108.736885;-109.26754;-0.5306549
33;DEX_SHOCK;4;-108.76478;-109.43033;-0.66555023
34;BASE;0;-80.97846;-83.698296;-2.7198334
34;SP500_SHOCK;1;-81.16594;-84.15288;-2.9869385
34;TSX_SHOCK;2;-81.01026;-83.759544;-2.7492828
34;EAFE_SHOCK;3;-81.02872;-83.8064;-2.7776794
34;DEX_SHOCK;4;-81.10091;-83.95081;-2.849907
35;BASE;0;-32.62912;-37.898743;-5.269623
35;SP500_SHOCK;1;-32.916676;-38.947243;-6.030567
35;TSX_SHOCK;2;-32.721893;-38.225628;-5.5037346
35;EAFE_SHOCK;3;-32.647118;-37.962715;-5.3155975
35;DEX_SHOCK;4;-32.715958;-38.17776;-5.4618034
36;BASE;0;-55.612225;-58.36195;-2.7497253
36;SP500_SHOCK;1;-55.63946;-58.586014;-2.9465523
36;TSX_SHOCK;2;-55.62029;-58.534775;-2.914486
36;EAFE_SHOCK;3;-55.62588;-58.51062;-2.884739
36;DEX_SHOCK;4;-55.674942;-58.666393;-2.9914513
37;BASE;0;-82.921455;-115.44009;-32.51863
37;SP500_SHOCK;1;-84.074455;-118.89244;-34.817986
37;TSX_SHOCK;2;-84.03;-120.141785;-36.111786
37;EAFE_SHOCK;3;-83.152306;-116.193184;-33.04088
37;DEX_SHOCK;4;-83.115295;-115.94915;-32.833855
38;BASE;0;471.27206;-63.922344;-535.1944
38;SP500_SHOCK;1;453.84937;-76.455414;-530.3048
38;TSX_SHOCK;2;418.49075;-103.649536;-522.14026
38;EAFE_SHOCK;3;449.99677;-79.36118;-529.358
38;DEX_SHOCK;4;437.4158;-88.01866;-525.43445
39;BASE;0;-62.92349;-61.467762;1.4557266
39;SP500_SHOCK;1;-62.8058;-61.486942;1.3188591
39;TSX_SHOCK;2;-62.717957;-61.437355;1.2806015
39;EAFE_SHOCK;3;-62.77063;-61.47292;1.2977104
39;DEX_SHOCK;4;-62.74868;-61.596355;1.1523247
40;BASE;0;1.4098747;-22.0864;-23.496273
40;SP500_SHOCK;1;1.0947139;-22.320335;-23.415049
40;TSX_SHOCK;2;0.4900292;-22.746168;-23.236197
40;EAFE_SHOCK;3;0.5417671;-22.721214;-23.262981
40;DEX_SHOCK;4;-0.70168513;-23.696468;-22.994783
41;BASE;0;-68.63614;-72.604454;-3.9683151
41;SP500_SHOCK;1;-69.21126;-73.54188;-4.33062
41;TSX_SHOCK;2;-68.76336;-72.80385;-4.040489
41;EAFE_SHOCK;3;-68.6611;-72.64403;-3.9829254
41;DEX_SHOCK;4;-68.68231;-72.674034;-3.991722
42;BASE;0;-68.52419;-78.24019;-9.715996
42;SP500_SHOCK;1;-68.92077;-79.77629;-10.855522
42;TSX_SHOCK;2;-68.66781;-78.81167;-10.14386
42;EAFE_SHOCK;3;-68.6277;-78.65846;-10.030762
42;DEX_SHOCK;4;-68.802185;-79.0597;-10.257515
43;BASE;0;-45.249687;-49.171223;-3.9215355
43;SP500_SHOCK;1;-45.26695;-49.603416;-4.3364677
43;TSX_SHOCK;2;-45.251167;-49.200333;-3.9491653
43;EAFE_SHOCK;3;-45.261868;-49.573696;-4.3118286
43;DEX_SHOCK;4;-45.304264;-49.80895;-4.5046844
44;BASE;0;-17.64068;-53.528854;-35.888176
44;SP500_SHOCK;1;-18.706856;-57.570477;-38.86362
44;TSX_SHOCK;2;-18.02607;-55.1433;-37.11723
44;EAFE_SHOCK;3;-17.997822;-55.006275;-37.008453
44;DEX_SHOCK;4;-18.33658;-56.054607;-37.718025
45;BASE;0;-81.30028;-72.04461;9.255669
45;SP500_SHOCK;1;-80.59909;-71.85186;8.747231
45;TSX_SHOCK;2;-80.63732;-71.83039;8.806931
45;EAFE_SHOCK;3;-81.18011;-72.00946;9.170647
45;DEX_SHOCK;4;-80.13544;-71.746735;8.388702
46;BASE;0;-41.93996;-52.80115;-10.861191
46;SP500_SHOCK;1;-43.395657;-54.079975;-10.684319
46;TSX_SHOCK;2;-42.712044;-53.45595;-10.743908
46;EAFE_SHOCK;3;-42.144554;-52.975933;-10.831379
46;DEX_SHOCK;4;-42.174206;-53.01719;-10.842983
47;BASE;0;-867.9497;-604.5519;263.39783
47;SP500_SHOCK;1;-827.1238;-580.31195;246.81183
47;TSX_SHOCK;2;-864.4871;-602.5101;261.97705
47;EAFE_SHOCK;3;-857.1996;-598.10284;259.09674
47;DEX_SHOCK;4;-850.1463;-594.61145;255.53485
48;BASE;0;-123.038864;-122.90055;0.1383133
48;SP500_SHOCK;1;-122.62279;-123.30684;-0.6840515
48;TSX_SHOCK;2;-122.85317;-123.015915;-0.16274261
48;EAFE_SHOCK;3;-122.966324;-122.94986;0.016464233
48;DEX_SHOCK;4;-123.01065;-123.064835;-0.05418396
49;BASE;0;-14.514316;-34.301044;-19.786728
49;SP500_SHOCK;1;-15.491455;-38.125088;-22.633633
49;TSX_SHOCK;2;-14.972181;-36.319546;-21.347364
49;EAFE_SHOCK;3;-14.609858;-34.710983;-20.101126
49;DEX_SHOCK;4;-14.63747;-34.759212;-20.121742
50;BASE;0;-5.309892;-8.181765;-2.8718724
50;SP500_SHOCK;1;-5.3132358;-8.230112;-2.9168763
50;TSX_SHOCK;2;-5.319186;-8.316257;-2.9970713
50;EAFE_SHOCK;3;-5.3195815;-8.313053;-2.9934716
50;DEX_SHOCK;4;-5.340262;-8.49954;-3.1592784
51;BASE;0;-45.698494;-46.806313;-1.1078186
51;SP500_SHOCK;1;-45.66775;-47.051792;-1.3840408
51;TSX_SHOCK;2;-45.640675;-47.003105;-1.3624306
51;EAFE_SHOCK;3;-45.685402;-46.87665;-1.1912498
51;DEX_SHOCK;4;-45.696533;-46.89136;-1.194828
52;BASE;0;-58.69648;-64.00786;-5.3113785
52;SP500_SHOCK;1;-58.930424;-65.337166;-6.406742
52;TSX_SHOCK;2;-58.70387;-64.639885;-5.936016
52;EAFE_SHOCK;3;-58.711876;-64.13217;-5.4202957
52;DEX_SHOCK;4;-58.76388;-64.19149;-5.4276085
53;BASE;0;-58.19034;-91.53308;-33.342743
53;SP500_SHOCK;1;-60.01074;-93.76827;-33.757534
53;TSX_SHOCK;2;-61.4454;-95.60242;-34.157017
53;EAFE_SHOCK;3;-58.45618;-91.8606;-33.404423
53;DEX_SHOCK;4;-59.12488;-92.6777;-33.552814
54;BASE;0;-50.273342;-56.649017;-6.375675
54;SP500_SHOCK;1;-50.872128;-57.45619;-6.5840607
54;TSX_SHOCK;2;-50.557426;-57.01678;-6.4593544
54;EAFE_SHOCK;3;-50.409534;-56.830227;-6.4206924
54;DEX_SHOCK;4;-50.515484;-56.97347;-6.457985
55;BASE;0;-89.02547;-84.3021;4.723366
55;SP500_SHOCK;1;-88.367905;-84.441246;3.9266586
55;TSX_SHOCK;2;-88.46212;-84.32735;4.1347733
55;EAFE_SHOCK;3;-88.768585;-84.33844;4.4301453
55;DEX_SHOCK;4;-88.08789;-84.74652;3.3413696
56;BASE;0;-363.78546;-308.8164;54.969055
56;SP500_SHOCK;1;-354.45657;-304.11932;50.33725
56;TSX_SHOCK;2;-361.60986;-307.69385;53.916016
56;EAFE_SHOCK;3;-361.72714;-307.75024;53.9769
56;DEX_SHOCK;4;-361.201;-307.92526;53.275726
57;BASE;0;-47.015446;-63.659874;-16.644428
57;SP500_SHOCK;1;-47.483204;-65.11899;-17.635784
57;TSX_SHOCK;2;-47.379543;-65.2888;-17.90926
57;EAFE_SHOCK;3;-47.21112;-64.32049;-17.109367
57;DEX_SHOCK;4;-47.212803;-64.18157;-16.96877
58;BASE;0;-152.57524;-172.962;-20.386765
58;SP500_SHOCK;1;-153.29802;-174.43011;-21.132095
58;TSX_SHOCK;2;-152.9443;-173.65985;-20.715546
58;EAFE_SHOCK;3;-152.8801;-173.5521;-20.671997
58;DEX_SHOCK;4;-153.65172;-175.06673;-21.415009
59;BASE;0;-207.35127;-182.43733;24.91394
59;SP500_SHOCK;1;-206.21255;-181.77321;24.439346
59;TSX_SHOCK;2;-205.08662;-180.99637;24.090256
59;EAFE_SHOCK;3;-206.67677;-182.03044;24.646332
59;DEX_SHOCK;4;-205.72208;-181.5354;24.186676
60;BASE;0;-88.75671;-82.96853;5.7881775
60;SP500_SHOCK;1;-87.36513;-82.89292;4.472206
60;TSX_SHOCK;2;-88.188736;-82.90934;5.279396
60;EAFE_SHOCK;3;-88.56413;-82.96554;5.5985947
60;DEX_SHOCK;4;-88.60162;-83.00855;5.593071
61;BASE;0;-88.35452;-91.13583;-2.781311
61;SP500_SHOCK;1;-88.42138;-91.20828;-2.7869034
61;TSX_SHOCK;2;-88.515465;-91.26697;-2.751503
61;EAFE_SHOCK;3;-88.440926;-91.223274;-2.7823486
61;DEX_SHOCK;4;-88.52724;-91.35382;-2.8265839
62;BASE;0;-37.73786;-37.7502;-0.012336731
62;SP500_SHOCK;1;-37.726982;-37.773445;-0.046463013
62;TSX_SHOCK;2;-37.73059;-37.762516;-0.0319252
62;EAFE_SHOCK;3;-37.728638;-37.76697;-0.038333893
62;DEX_SHOCK;4;-37.73065;-37.78158;-0.050930023
63;BASE;0;-73.690636;-69.33396;4.356674
63;SP500_SHOCK;1;-72.99802;-69.17234;3.825676
63;TSX_SHOCK;2;-73.54336;-69.29745;4.2459106
63;EAFE_SHOCK;3;-73.31302;-69.22668;4.086342
63;DEX_SHOCK;4;-73.59476;-69.331505;4.2632523
64;BASE;0;265.16705;164.07782;-101.08923
64;SP500_SHOCK;1;253.7644;156.88866;-96.87575
64;TSX_SHOCK;2;257.28137;159.09047;-98.1909
64;EAFE_SHOCK;3;260.75128;161.2812;-99.47008
64;DEX_SHOCK;4;259.6913;160.61128;-99.08003
65;BASE;0;-30.473083;-30.557795;-0.084711075
65;SP500_SHOCK;1;-30.473629;-30.572294;-0.09866524
65;TSX_SHOCK;2;-30.473347;-30.565762;-0.092414856
65;EAFE_SHOCK;3;-30.473381;-30.568485;-0.09510422
65;DEX_SHOCK;4;-30.474104;-30.574034;-0.09992981
66;BASE;0;-38.608673;-42.428616;-3.8199425
66;SP500_SHOCK;1;-38.512447;-42.76425;-4.2518044
66;TSX_SHOCK;2;-38.51311;-42.675854;-4.1627426
66;EAFE_SHOCK;3;-38.546547;-42.609985;-4.0634384
66;DEX_SHOCK;4;-38.365055;-43.95181;-5.586754
67;BASE;0;-86.74166;-88.05164;-1.3099823
67;SP500_SHOCK;1;-86.76688;-88.50325;-1.7363739
67;TSX_SHOCK;2;-86.74166;-88.05164;-1.3099823
67;EAFE_SHOCK;3;-86.743835;-88.09767;-1.353836
67;DEX_SHOCK;4;-86.76438;-88.148926;-1.3845444
68;BASE;0;-24.242022;-34.283623;-10.041601
68;SP500_SHOCK;1;-25.632414;-36.276093;-10.643679
68;TSX_SHOCK;2;-24.42547;-34.546066;-10.120596
68;EAFE_SHOCK;3;-24.303612;-34.37183;-10.068218
68;DEX_SHOCK;4;-24.364292;-34.462605;-10.098312
69;BASE;0;-39.396107;-39.834007;-0.43790054
69;SP500_SHOCK;1;-39.40243;-39.878036;-0.475605
