CHOC_IDX;CHOC_NAME;DEBUG_ACCOUNT_IDX;ID_COMPTE;DEBUG_INT_SCENARIO;DEBUG_INT_YEAR;START_VM;VM_CHOC;AVG_PV_FLUX;RESERVE;CAPITAL;START_TX_SURVIE;START_AGE;INT_CURR_VM;INT_FEES;INT_PV_PATH;INT_R_PORTFOLIO;INT_FWD_RATE
0;BASE;0;1;0;1;153.75818;153.75816;-577.7029;-577.7029;-591.7503;0.9008959;11.0;178.05783;127.90227;-237.73495;0.043518323;0.002788338
1;SP500_SHOCK;0;1;0;1;153.75818;146.15956;-578.3214;-578.3214;-603.7708;0.9008959;11.0;170.00504;127.8809;-237.78569;0.04203646;0.002788338
2;TSX_SHOCK;0;1;0;1;153.75818;149.78296;-578.0434;-578.0434;-599.6786;0.9008959;11.0;174.08441;127.89173;-237.76068;0.044185594;0.002788338
3;EAFE_SHOCK;0;1;0;1;153.75818;152.31383;-577.7641;-577.7641;-592.4145;0.9008959;11.0;176.66995;127.89859;-237.74411;0.04409927;0.002788338
4;DEX_SHOCK;0;1;0;1;153.75818;151.40051;-578.18744;-578.18744;-598.78503;0.9008959;11.0;175.66702;127.89593;-237.75034;0.0437043;0.002788338
