CHOC_IDX;CHOC_NAME;T_INT;DEBUG_ACCOUNT_IDX;ID_COMPTE;DEBUG_SCENARIO;DEBUG_YEAR;DEBUG_INT_SCENARIO;CURR_VM;FEES;PV_PATH;R_PORTFOLIO;FWD_RATE;DF
0;BASE;1;0;1;0;-1;0;178.05783081054688;127.90226745605469;-237.73495483398438;0.043518323451280594;0.0027883381117135286;0.9824284315109253
1;SP500_SHOCK;1;0;1;0;-1;0;170.00503540039062;127.88089752197266;-237.7856903076172;0.04203645884990692;0.0027883381117135286;0.9824284315109253
2;TSX_SHOCK;1;0;1;0;-1;0;174.08441162109375;127.89173126220703;-237.76068115234375;0.04418559372425079;0.0027883381117135286;0.9824284315109253
3;EAFE_SHOCK;1;0;1;0;-1;0;176.66995239257812;127.89859008789062;-237.74411010742188;0.044099271297454834;0.0027883381117135286;0.9824284315109253
4;DEX_SHOCK;1;0;1;0;-1;0;175.66702270507812;127.89592742919922;-237.75033569335938;0.04370430111885071;0.0027883381117135286;0.9824284315109253
