ID_COMPTE,scn_eval,an_proj,TX_SURVIE,RENDEMENT,FLUX_NET_EXT,RESERVE,CAPITAL_REQUIREMENT,PROFIT,FLUX_DISTRIBUABLE,VP_FLUX_DISTRIBUABLE_YEARLY
3.0,2,0,1.0,0.0,-1761.48,0.0,0.0,-1761.48,-1761.48,-1761.48
3.0,2,1,0.985248,2059.0122033204,227.20056711826226,-2093.9351242357397,-96.63114743890401,-1866.7345571174774,-1963.3657045563814,-1784.8779132330737
3.0,2,2,0.960908433408,700.9999693754071,231.71281345856974,-2632.592425678808,135.87207421415815,-306.94448798449855,-74.4412663314364,-61.521707711930894
3.0,2,3,0.925276987788798,7566.584766355973,262.59698822950156,-3939.177646135277,546.7808947438252,-1043.9882322269673,-633.0794116973002,-475.64193215424496
3.0,2,4,0.8817815671468221,-6902.813008870038,197.03282106297368,-3584.336567489073,284.7057802639979,551.8738997091777,289.7987852293504,197.9364696600986
3.0,2,5,0.8315773336213178,5307.291530495056,202.51348612892653,-3714.05969169565,478.1746956204752,72.79036192234926,266.2592772788265,165.32606272474337
3.0,2,6,0.7759764099407293,1786.0309848265026,223.18013206886224,-3638.40824813027,499.2192260802876,298.83157563424254,319.876106094055,180.5617227372102
3.0,2,7,0.7240930752192722,4856.706813578589,241.49246176430918,-3919.115833677315,641.381493930648,-39.21512378273607,102.94714406762435,52.82816272696755
3.0,2,8,0.6730242388102073,-7556.759766584215,140.4759429545088,-2885.2286325474947,290.8341955456103,1174.3631440843292,823.8158456992915,384.3161719524422
3.0,2,9,0.625557185295401,6758.285240274694,167.17671867148817,-2667.974853320472,125.09315593824795,384.4304978985109,218.68945829114853,92.74567842444489
3.0,2,10,0.5814378881308869,1656.8775050856466,185.0154374010352,-2801.7491333591156,-112.09278781819557,51.24115736239159,-185.94478639405193,-71.68976459863435
3.0,2,11,0.5404302367567917,3517.6551955666205,192.94101088238543,-2817.572322225115,-281.9440043759819,177.1178220163861,7.266605458599798,2.5469008831774134
3.0,2,12,0.5023147730188087,4102.456328902856,196.84875158018852,-3030.3643530205172,-247.43683042134626,-15.943279215213778,18.56389473942184,5.915028960710966
3.0,2,13,0.4640072437988483,3152.3223764057207,197.87807531849052,-2926.907208920834,-81.80339065980843,301.33521941817384,466.96865917971166,135.2641870177639
3.0,2,14,0.4286211233722605,-2850.21535108786,147.85460934347265,-2624.460516727743,-565.9633347102249,450.30130153656336,-33.85864251385311,-8.916038802274096
3.0,2,15,0.39593361926164516,2881.851758124908,146.4189534672937,-2245.1451511584996,-490.21439568566166,525.7343190365373,601.4832580611005,143.9903098084882
3.0,2,16,0.36573892958951354,-995.3099810506536,121.91662037191722,-2362.102481439181,-249.48093021255954,4.959290091236056,245.69275556433817,53.469902063367115
3.0,2,17,0.33784694734115805,5982.067627374322,143.06809018825393,-2269.2916338086397,-263.07146722497873,235.87893781879498,222.2884008063758,43.97857505787791
3.0,2,18,0.30855696839446906,16916.101646732746,171.05512595656177,-2443.362914018505,-909.1628550884311,-3.016154253303341,-649.1075421167557,-116.74769704606358
3.0,2,19,0.2818063134625422,7083.461991877429,192.83832744467622,-2402.2126757242063,-626.065710036602,233.98856573897478,517.0857107908039,84.54764565652688
3.0,2,20,0.25737483331059363,33977.53212953169,235.26726216366515,-3334.4460311311536,-1121.734475883101,-696.9660932432822,-1192.634859089781,-177.27757236316813
3.0,2,21,0.2350614647618984,9905.0815144868,271.69569731981534,-3241.417145275057,-2168.0728345771386,364.72458317591196,-681.6137755181257,-92.10685864022572
3.0,2,22,0.21468257601290086,39947.045046348576,306.61526144518126,-3679.3404933008046,-3360.720501129533,-131.30808658056634,-1323.955753132961,-162.64263346208307
3.0,2,23,0.19187298167668215,-24273.14594168371,4.688562806761524,-3839.739808126041,-2525.802939277684,-155.7107520184751,679.2068098333742,75.85256528349902
3.0,2,24,0.171486861119498,2063.7153118046754,-30.5744636786348,-4188.596366122938,-2606.2472321025125,-379.43102167553155,-459.87531450036016,-46.68911630768219
3.0,2,25,0.15326672509927358,-5730.2859205596615,-105.26022119322641,-5415.477425425976,-2099.2581936932465,-1332.141280496265,-825.152242086999,-76.15824983146194
3.0,2,26,0.13698244209092594,-38710.55760366539,-442.5288338035002,-6473.751825830048,-1498.280659676605,-1500.8032342075717,-899.8257001909301,-75.50028289499767
3.0,2,27,0.12242833158364924,8672.74031534013,-373.4095294147543,-5539.2305067025245,-1627.5838905501769,561.1117897127691,431.8085588391972,32.937356991291885
