AN_EVAL;MOIS_EVAL;PRIMES_GARANTIES;PREST_DECES;PREST_ECH;PREST_MRV;FRAIS_ACQUIS;COMM_VENTE;PRIMES_VARIABLES;FRAIS_FIXES;HON_GEST;COMM_MAINTIEN;VALEUR_MARCHANDE;PASSIF_REDRESSE;COUSSIN_CREDIT;COUSSIN_MARCHE;COUSSIN_DEPENSE;COUSSIN_DECHEANCE;COUSSIN_MORTALITE;COUSSIN_DEPOT
0;12;0.0;0.0;0.0;0.0;0.3912530656467086;-0.939793552309024;3.0337240240774905;-15.118524972833335;-0.4682631524251509;-1.518890250479168;7352.856011752854;-11.751849678092697;-4.908133981830262;-218.2631581055702;-14.237716896283377;-79.32689085309795;-9.237154573693413;0.0
1;7;0.0;-1.8843743108971389e-06;0.0;0.0;0.20259484406590475;-0.979797310511869;3.031525751848369;-34.042097525168025;-0.4678624706407096;-3.032946327900316;7293.352273077309;-14.037690528070298;-5.906903604356577;-245.24059242306353;-16.72580565241797;-91.27591612079172;-10.19675542335012;0.0
1;8;0.0;-5.362342536112195e-06;0.0;0.0;0.20089820401577413;-0.9680425408982957;3.00815682256335;-33.622582424864554;-0.46424692222569447;-3.00945209592916;7236.392441810569;-13.924492790708364;-5.860560346268508;-242.75873480767967;-16.581293183385707;-90.36912743081189;-10.114294094717899;0.0
1;9;0.0;-7.580448302391102e-06;0.0;0.0;0.19569871309625672;-0.9564287904539119;2.984691704198306;-33.208387263216665;-0.4606055900322039;-3.172822594770744;7177.06020190074;-13.802489475925604;-5.812269970375865;-240.19116888498334;-16.425115357231398;-89.43746427234976;-10.025147918101393;0.0
1;10;0.0;-0.009778943335422074;0.0;0.0;0.19391506464451475;-0.9449543671205949;2.9619716828358706;-32.78745529008438;-0.45705587579600226;-3.1480232781262334;7120.701304001883;-13.688466795272081;-5.766383891680741;-237.64983937040728;-16.277844997351487;-88.51497574478347;-9.941960871617109;0.0
1;11;0.0;-0.012566606095835677;0.0;0.0;0.19168705841177863;-0.9336184559216995;2.937151327330045;-32.37196648861258;-0.4531502991912729;-3.1203808660935883;7057.683006544899;-13.556606972954192;-5.715158990928882;-235.13458410998766;-16.1122757072432;-87.60161920380384;-9.845448583842924;0.0
1;12;0.0;-0.015222526108869426;0.0;0.0;0.21563856409871027;-0.9224185293333985;2.9138505170926505;-31.96186144591725;-0.4494977171597775;-3.094721155002917;6997.970563551364;-13.432117331797842;-5.666509514039149;-232.55078555600437;-15.953573176204046;-86.66793252876899;-9.754382477972602;0.0
2;1;0.0;-0.01032651322994129;0.0;0.0;0.21410005856353156;-0.9113541709636698;2.890529129843821;-19.784795669583637;-0.44582894341904117;-3.0688891226060755;6945.588230126647;-13.332752972657513;-5.624020054156771;-230.4399220467352;-15.826481791829124;-85.88458449991354;-9.682321585397187;0.0
2;2;0.0;-0.011230904008224112;0.0;0.0;0.2126121131145857;-0.90042252476727;2.86894200417635;-19.519350882001596;-0.44250298625701473;-3.0461330028441376;6894.12013340577;-13.235452717122762;-5.582240225713168;-228.34683505338631;-15.70178479868217;-85.10771689751951;-9.611786686991596;0.0
2;3;0.0;-0.021593285632366586;0.0;0.0;0.21125147153144405;-0.88962199908439;2.8474443904817868;-19.257653143304488;-0.43920457235537996;-3.0236958397599536;6843.453516239927;-13.1415695214748;-5.541146079374538;-226.27139994659268;-15.582340236572755;-84.33728696851207;-9.543862797102989;0.0
